rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_atms,atms_scheduled_UK_operator,atms_scheduled_foreign_EU_operator,atms_scheduled_foreign_non_EU_operator,atms_charter_UK_operator,atms_charter_foreign_EU_operator,atms_charter_foreign_non_EU_operator
05-May-2016 09:25,201603,Other UK Airports             ,ABERDEEN                      , 6821 , 2976 , 865 , 241 , 2656 , 81 , 2 
05-May-2016 09:25,201603,Non UK Reporting Airports     ,ALDERNEY                      , 408 , 408 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,BARRA                         , 108 , 108 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    , 3253 , 2697 , 550 , 0 , 0 , 6 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,BELFAST INTERNATIONAL         , 3076 , 2560 , 66 , 30 , 224 , 196 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,BENBECULA                     , 153 , 153 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,BIRMINGHAM                    , 7438 , 3540 , 2820 , 677 , 345 , 48 , 8 
05-May-2016 09:25,201603,Other UK Airports             ,BLACKPOOL                     , 596 , 0 , 116 , 0 , 480 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,BOURNEMOUTH                   , 268 , 93 , 126 , 0 , 47 , 2 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,BRISTOL                       , 4317 , 2779 , 1192 , 0 , 319 , 27 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,CAMPBELTOWN                   , 86 , 86 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,CARDIFF WALES                 , 1083 , 567 , 422 , 0 , 90 , 4 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,CITY OF DERRY (EGLINTON)      , 164 , 0 , 164 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,COVENTRY                      , 56 , 0 , 0 , 0 , 4 , 52 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,DONCASTER SHEFFIELD           , 585 , 96 , 372 , 0 , 112 , 1 , 4 
05-May-2016 09:25,201603,Other UK Airports             ,DUNDEE                        , 99 , 99 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,DURHAM TEES VALLEY            , 351 , 175 , 176 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   , 4184 , 1466 , 1495 , 172 , 282 , 758 , 11 
05-May-2016 09:25,201603,Other UK Airports             ,EDINBURGH                     , 9114 , 6186 , 2406 , 330 , 78 , 114 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,EXETER                        , 925 , 809 , 0 , 0 , 114 , 2 , 0 
05-May-2016 09:25,201603,London Area Airports          ,GATWICK                       , 20489 , 13989 , 3824 , 1670 , 805 , 201 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,GLASGOW                       , 6669 , 4822 , 1391 , 268 , 145 , 11 , 32 
05-May-2016 09:25,201603,Other UK Airports             ,GLOUCESTERSHIRE               , 90 , 0 , 90 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Non UK Reporting Airports     ,GUERNSEY                      , 1993 , 1831 , 0 , 0 , 156 , 6 , 0 
05-May-2016 09:25,201603,London Area Airports          ,HEATHROW                      , 39181 , 21836 , 7810 , 9386 , 16 , 133 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,HUMBERSIDE                    , 719 , 172 , 174 , 0 , 368 , 5 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,INVERNESS                     , 826 , 825 , 0 , 0 , 0 , 1 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,ISLAY                         , 132 , 132 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Non UK Reporting Airports     ,ISLE OF MAN                   , 1666 , 1060 , 563 , 0 , 4 , 39 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,ISLES OF SCILLY (ST.MARYS)    , 738 , 738 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Non UK Reporting Airports     ,JERSEY                        , 2016 , 1844 , 154 , 0 , 14 , 4 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,KIRKWALL                      , 942 , 929 , 0 , 0 , 13 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,LANDS END (ST JUST)           , 579 , 579 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,LEEDS BRADFORD                , 2164 , 1416 , 723 , 2 , 13 , 10 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,LERWICK (TINGWALL)            , 124 , 124 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,LIVERPOOL (JOHN LENNON)       , 3048 , 1920 , 1117 , 0 , 8 , 3 , 0 
05-May-2016 09:25,201603,London Area Airports          ,LONDON CITY                   , 6924 , 1023 , 5308 , 593 , 0 , 0 , 0 
05-May-2016 09:25,201603,London Area Airports          ,LUTON                         , 7620 , 3519 , 3546 , 118 , 109 , 308 , 20 
05-May-2016 09:25,201603,Other UK Airports             ,LYDD                          , 8 , 6 , 0 , 0 , 0 , 2 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,MANCHESTER                    , 13121 , 6837 , 4094 , 1417 , 722 , 28 , 23 
05-May-2016 09:25,201603,Other UK Airports             ,NEWCASTLE                     , 2918 , 1725 , 859 , 68 , 203 , 14 , 49 
05-May-2016 09:25,201603,Other UK Airports             ,NEWQUAY                       , 425 , 405 , 20 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,NORWICH                       , 1872 , 519 , 196 , 0 , 1088 , 69 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,OXFORD (KIDLINGTON)           , 7 , 2 , 0 , 0 , 5 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,PRESTWICK                     , 304 , 0 , 285 , 0 , 0 , 10 , 9 
05-May-2016 09:25,201603,Other UK Airports             ,SCATSTA                       , 661 , 0 , 0 , 0 , 661 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,SHOREHAM                      , 47 , 0 , 0 , 0 , 47 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,SOUTHAMPTON                   , 2878 , 2802 , 61 , 0 , 2 , 13 , 0 
05-May-2016 09:25,201603,London Area Airports          ,SOUTHEND                      , 651 , 448 , 202 , 0 , 1 , 0 , 0 
05-May-2016 09:25,201603,London Area Airports          ,STANSTED                      , 13166 , 1905 , 10063 , 742 , 337 , 112 , 7 
05-May-2016 09:25,201603,Other UK Airports             ,STORNOWAY                     , 548 , 548 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,SUMBURGH                      , 880 , 565 , 0 , 6 , 309 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,TIREE                         , 150 , 150 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,WICK JOHN O GROATS            , 179 , 175 , 0 , 0 , 4 , 0 , 0 
