rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_EU_atm,scheduled_all_EU_international_atm,scheduled_passenger_EU_international_atm,charter_all_EU_international_atm,charter_EU_international_passenger_atm,total_non_EU_international_atm,scheduled_all_non_EU_international_atm,scheduled_passenger_non_EU_international_atm,charter_all_non_EU_international_atm,charter_passenger_non_EU_international_atm,total_domestic_atm,scheduled_all_domestic_atm,scheduled_passenger_domestic_atm,charter_all_domestic_atm,charter_passenger_domestic_atm
05-May-2016 09:25,201603,Other UK Airports             ,ABERDEEN                      , 802 , 784 , 784 , 18 , 18 , 2776 , 420 , 420 , 2356 , 2339 , 3243 , 2878 , 2877 , 365 , 272 
05-May-2016 09:25,201603,Non UK Reporting Airports     ,ALDERNEY                      , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 408 , 408 , 408 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,BARRA                         , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 108 , 108 , 108 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    , 72 , 66 , 66 , 6 , 6 , 0 , 0 , 0 , 0 , 0 , 3181 , 3181 , 3181 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,BELFAST INTERNATIONAL         , 466 , 385 , 385 , 81 , 77 , 94 , 94 , 94 , 0 , 0 , 2516 , 2177 , 2177 , 339 , 6 
05-May-2016 09:25,201603,Other UK Airports             ,BENBECULA                     , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 153 , 153 , 153 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,BIRMINGHAM                    , 4803 , 4507 , 4507 , 296 , 296 , 890 , 785 , 785 , 105 , 105 , 1745 , 1745 , 1745 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,BLACKPOOL                     , 0 , 0 , 0 , 0 , 0 , 477 , 0 , 0 , 477 , 477 , 119 , 116 , 116 , 3 , 3 
05-May-2016 09:25,201603,Other UK Airports             ,BOURNEMOUTH                   , 207 , 163 , 163 , 44 , 44 , 51 , 50 , 50 , 1 , 1 , 10 , 6 , 6 , 4 , 4 
05-May-2016 09:25,201603,Other UK Airports             ,BRISTOL                       , 3010 , 2718 , 2718 , 292 , 292 , 280 , 260 , 260 , 20 , 20 , 1027 , 993 , 993 , 34 , 34 
05-May-2016 09:25,201603,Other UK Airports             ,CAMPBELTOWN                   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 86 , 86 , 86 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,CARDIFF WALES                 , 668 , 583 , 583 , 85 , 85 , 17 , 12 , 12 , 5 , 5 , 398 , 394 , 394 , 4 , 4 
05-May-2016 09:25,201603,Other UK Airports             ,CITY OF DERRY (EGLINTON)      , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 164 , 164 , 164 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,COVENTRY                      , 56 , 0 , 0 , 56 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,DONCASTER SHEFFIELD           , 557 , 444 , 394 , 113 , 113 , 4 , 0 , 0 , 4 , 1 , 24 , 24 , 24 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,DUNDEE                        , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 99 , 99 , 99 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,DURHAM TEES VALLEY            , 178 , 177 , 177 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 174 , 174 , 174 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   , 2499 , 1758 , 1441 , 741 , 149 , 215 , 96 , 10 , 119 , 24 , 1470 , 1279 , 1116 , 191 , 6 
05-May-2016 09:25,201603,Other UK Airports             ,EDINBURGH                     , 3213 , 3092 , 3005 , 121 , 112 , 538 , 523 , 523 , 15 , 15 , 5364 , 5308 , 4972 , 56 , 4 
05-May-2016 09:25,201603,Other UK Airports             ,EXETER                        , 256 , 191 , 191 , 65 , 65 , 11 , 8 , 8 , 3 , 3 , 658 , 610 , 610 , 48 , 7 
05-May-2016 09:25,201603,London Area Airports          ,GATWICK                       , 13417 , 12751 , 12751 , 666 , 666 , 4450 , 4113 , 4113 , 337 , 337 , 2624 , 2619 , 2619 , 5 , 5 
05-May-2016 09:25,201603,Other UK Airports             ,GLASGOW                       , 1755 , 1594 , 1591 , 161 , 129 , 304 , 282 , 282 , 22 , 22 , 4610 , 4605 , 4572 , 5 , 5 
05-May-2016 09:25,201603,Other UK Airports             ,GLOUCESTERSHIRE               , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 90 , 90 , 90 , 0 , 0 
05-May-2016 09:25,201603,Non UK Reporting Airports     ,GUERNSEY                      , 47 , 32 , 32 , 15 , 0 , 2 , 0 , 0 , 2 , 2 , 1944 , 1799 , 1798 , 145 , 6 
05-May-2016 09:25,201603,London Area Airports          ,HEATHROW                      , 17457 , 17316 , 17307 , 141 , 13 , 18628 , 18620 , 18555 , 8 , 8 , 3099 , 3099 , 3098 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,HUMBERSIDE                    , 175 , 174 , 174 , 1 , 1 , 370 , 0 , 0 , 370 , 335 , 174 , 172 , 172 , 2 , 2 
05-May-2016 09:25,201603,Other UK Airports             ,INVERNESS                     , 82 , 81 , 81 , 1 , 1 , 8 , 8 , 8 , 0 , 0 , 736 , 736 , 736 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,ISLAY                         , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 132 , 132 , 132 , 0 , 0 
05-May-2016 09:25,201603,Non UK Reporting Airports     ,ISLE OF MAN                   , 92 , 91 , 91 , 1 , 1 , 8 , 8 , 8 , 0 , 0 , 1566 , 1524 , 1524 , 42 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,ISLES OF SCILLY (ST.MARYS)    , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 738 , 738 , 640 , 0 , 0 
05-May-2016 09:25,201603,Non UK Reporting Airports     ,JERSEY                        , 39 , 38 , 38 , 1 , 1 , 27 , 26 , 26 , 1 , 1 , 1950 , 1934 , 1792 , 16 , 13 
05-May-2016 09:25,201603,Other UK Airports             ,KIRKWALL                      , 0 , 0 , 0 , 0 , 0 , 10 , 0 , 0 , 10 , 10 , 932 , 929 , 924 , 3 , 3 
05-May-2016 09:25,201603,Other UK Airports             ,LANDS END (ST JUST)           , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 579 , 579 , 483 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,LEEDS BRADFORD                , 1343 , 1324 , 1324 , 19 , 19 , 85 , 82 , 82 , 3 , 3 , 738 , 735 , 735 , 3 , 3 
05-May-2016 09:25,201603,Other UK Airports             ,LERWICK (TINGWALL)            , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 124 , 124 , 124 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,LIVERPOOL (JOHN LENNON)       , 1896 , 1890 , 1889 , 6 , 5 , 184 , 183 , 183 , 1 , 1 , 973 , 966 , 965 , 7 , 6 
05-May-2016 09:25,201603,London Area Airports          ,LONDON CITY                   , 3898 , 3898 , 3898 , 0 , 0 , 1050 , 1050 , 1050 , 0 , 0 , 1976 , 1976 , 1976 , 0 , 0 
05-May-2016 09:25,201603,London Area Airports          ,LUTON                         , 5878 , 5598 , 5585 , 280 , 165 , 1023 , 910 , 897 , 113 , 113 , 719 , 675 , 675 , 44 , 23 
05-May-2016 09:25,201603,Other UK Airports             ,LYDD                          , 8 , 6 , 6 , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,MANCHESTER                    , 7769 , 7267 , 7218 , 502 , 501 , 2425 , 2162 , 2150 , 263 , 263 , 2927 , 2919 , 2901 , 8 , 8 
05-May-2016 09:25,201603,Other UK Airports             ,NEWCASTLE                     , 1465 , 1252 , 1252 , 213 , 178 , 139 , 118 , 118 , 21 , 21 , 1314 , 1282 , 1198 , 32 , 20 
05-May-2016 09:25,201603,Other UK Airports             ,NEWQUAY                       , 20 , 20 , 20 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 405 , 405 , 405 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,NORWICH                       , 224 , 206 , 206 , 18 , 18 , 1135 , 0 , 0 , 1135 , 1098 , 513 , 509 , 509 , 4 , 4 
05-May-2016 09:25,201603,Other UK Airports             ,OXFORD (KIDLINGTON)           , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 6 , 2 , 2 , 4 , 4 
05-May-2016 09:25,201603,Other UK Airports             ,PRESTWICK                     , 262 , 262 , 234 , 0 , 0 , 41 , 23 , 2 , 18 , 2 , 1 , 0 , 0 , 1 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,SCATSTA                       , 0 , 0 , 0 , 0 , 0 , 401 , 0 , 0 , 401 , 398 , 260 , 0 , 0 , 260 , 259 
05-May-2016 09:25,201603,Other UK Airports             ,SHOREHAM                      , 23 , 0 , 0 , 23 , 23 , 0 , 0 , 0 , 0 , 0 , 24 , 0 , 0 , 24 , 24 
05-May-2016 09:25,201603,Other UK Airports             ,SOUTHAMPTON                   , 826 , 813 , 813 , 13 , 13 , 24 , 24 , 24 , 0 , 0 , 2028 , 2026 , 2026 , 2 , 2 
05-May-2016 09:25,201603,London Area Airports          ,SOUTHEND                      , 587 , 587 , 587 , 0 , 0 , 61 , 61 , 61 , 0 , 0 , 3 , 2 , 2 , 1 , 1 
05-May-2016 09:25,201603,London Area Airports          ,STANSTED                      , 10244 , 10120 , 9775 , 124 , 118 , 1037 , 993 , 707 , 44 , 32 , 1885 , 1597 , 1550 , 288 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,STORNOWAY                     , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 548 , 548 , 548 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,SUMBURGH                      , 0 , 0 , 0 , 0 , 0 , 278 , 6 , 6 , 272 , 269 , 602 , 565 , 565 , 37 , 37 
05-May-2016 09:25,201603,Other UK Airports             ,TIREE                         , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 150 , 150 , 149 , 0 , 0 
05-May-2016 09:25,201603,Other UK Airports             ,WICK JOHN O GROATS            , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 3 , 3 , 176 , 175 , 175 , 1 , 1 
