rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_this_period,total_pax_EU_scheduled_this_period,total_pax_EU_charter_this_period,total_pax_EU_this_period,total_pax_EU_last_period,total_pax_EU_percent,total_pax_other_international_scheduled_this_period,total_pax_other_international_charter_this_period,total_pax_other_international_this_period,total_pax_other_international_last_period,total_pax_other_international_percent
05-May-2016 09:28,201603,201503,Other UK Airports             ,ABERDEEN                      , 101163 , 49412 , 3302 , 52714 , 49680 , 6.107085 , 14460 , 33989 , 48449 , 62823 ,-22.88016 
05-May-2016 09:28,201603,201503,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    , 6204 , 5385 , 819 , 6204 , 1854 , 234.6278 , 0 , 0 , 0 , 0 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,BELFAST INTERNATIONAL         , 82356 , 54832 , 14098 , 68930 , 58757 , 17.31368 , 13426 , 0 , 13426 , 15259 ,-12.01258 
05-May-2016 09:28,201603,201503,Other UK Airports             ,BIGGIN HILL                   , 0 , 0 , 0 , 0 , 138 ,Null, 0 , 0 , 0 , 10 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,BIRMINGHAM                    , 719821 , 490372 , 51902 , 542274 , 449402 , 20.66568 , 152980 , 24567 , 177547 , 171735 , 3.384284 
05-May-2016 09:28,201603,201503,Other UK Airports             ,BLACKPOOL                     , 1717 , 0 , 0 , 0 , 0 ,Null, 0 , 1717 , 1717 , 1994 ,-13.89167 
05-May-2016 09:28,201603,201503,Other UK Airports             ,BOURNEMOUTH                   , 36816 , 20897 , 7928 , 28825 , 18571 , 55.21512 , 7718 , 273 , 7991 , 8256 ,-3.209787 
05-May-2016 09:28,201603,201503,Other UK Airports             ,BRISTOL                       , 400223 , 314617 , 42220 , 356837 , 301065 , 18.5249 , 39689 , 3697 , 43386 , 43903 ,-1.177596 
05-May-2016 09:28,201603,201503,Other UK Airports             ,CAMBRIDGE                     , 0 , 0 , 0 , 0 , 235 ,Null, 0 , 0 , 0 , 0 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,CARDIFF WALES                 , 60574 , 43502 , 15076 , 58578 , 48074 , 21.84965 , 968 , 1028 , 1996 , 2799 ,-28.68882 
05-May-2016 09:28,201603,201503,Other UK Airports             ,COVENTRY                      , 0 , 0 , 0 , 0 , 0 ,Null, 0 , 0 , 0 , 0 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,DONCASTER SHEFFIELD           , 74580 , 53227 , 21340 , 74567 , 44840 , 66.29572 , 0 , 13 , 13 , 3819 ,-99.6596 
05-May-2016 09:28,201603,201503,Other UK Airports             ,DUNDEE                        , 0 , 0 , 0 , 0 , 14 ,Null, 0 , 0 , 0 , 0 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,DURHAM TEES VALLEY            , 9774 , 9654 , 120 , 9774 , 9531 , 2.549575 , 0 , 0 , 0 , 0 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   , 248485 , 216701 , 25874 , 242575 , 207637 , 16.82648 , 1634 , 4276 , 5910 , 14082 ,-58.03153 
05-May-2016 09:28,201603,201503,Other UK Airports             ,EDINBURGH                     , 493597 , 396249 , 17225 , 413474 , 298984 , 38.29302 , 77770 , 2353 , 80123 , 60589 , 32.24018 
05-May-2016 09:28,201603,201503,Other UK Airports             ,EXETER                        , 24241 , 11655 , 11701 , 23356 , 22451 , 4.031001 , 524 , 361 , 885 , 2322 ,-61.88631 
05-May-2016 09:28,201603,201503,London Area Airports          ,GATWICK                       , 2828308 , 1839248 , 121359 , 1960607 , 1785054 , 9.834604 , 788566 , 79135 , 867701 , 872070 ,-0.5009919 
05-May-2016 09:28,201603,201503,Other UK Airports             ,GLASGOW                       , 297015 , 207371 , 25282 , 232653 , 189775 , 22.59412 , 60477 , 3885 , 64362 , 78227 ,-17.72406 
05-May-2016 09:28,201603,201503,Non UK Reporting Airports     ,GUERNSEY                      , 286 , 279 , 0 , 279 , 201 , 38.80597 , 0 , 7 , 7 , 0 ,Null
05-May-2016 09:28,201603,201503,London Area Airports          ,HEATHROW                      , 5720430 , 2049686 , 2004 , 2051690 , 1969637 , 4.165895 , 3667427 , 1313 , 3668740 , 3539100 , 3.663078 
05-May-2016 09:28,201603,201503,Other UK Airports             ,HUMBERSIDE                    , 13605 , 10561 , 101 , 10662 , 10615 , 0.4427697 , 0 , 2943 , 2943 , 4356 ,-32.43801 
05-May-2016 09:28,201603,201503,Other UK Airports             ,INVERNESS                     , 3884 , 3442 , 7 , 3449 , 4444 ,-22.38974 , 435 , 0 , 435 , 560 ,-22.32143 
05-May-2016 09:28,201603,201503,Non UK Reporting Airports     ,ISLE OF MAN                   , 3800 , 3190 , 99 , 3289 , 2770 , 18.73646 , 511 , 0 , 511 , 545 ,-6.238532 
05-May-2016 09:28,201603,201503,Non UK Reporting Airports     ,JERSEY                        , 3449 , 2216 , 7 , 2223 , 1467 , 51.53374 , 1224 , 2 , 1226 , 1520 ,-19.34211 
05-May-2016 09:28,201603,201503,Other UK Airports             ,KIRKWALL                      , 0 , 0 , 0 , 0 , 0 ,Null, 0 , 0 , 0 , 0 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,LEEDS BRADFORD                , 188264 , 174776 , 2471 , 177247 , 152678 , 16.09204 , 11008 , 9 , 11017 , 11204 ,-1.669047 
05-May-2016 09:28,201603,201503,Other UK Airports             ,LIVERPOOL (JOHN LENNON)       , 290986 , 265106 , 288 , 265394 , 218338 , 21.55191 , 25559 , 33 , 25592 , 26296 ,-2.677213 
05-May-2016 09:28,201603,201503,London Area Airports          ,LONDON CITY                   , 276219 , 214674 , 0 , 214674 , 216023 ,-0.6244705 , 61545 , 0 , 61545 , 61518 , 4.388959E-02 
05-May-2016 09:28,201603,201503,London Area Airports          ,LUTON                         , 961129 , 825213 , 10095 , 835308 , 638851 , 30.75162 , 125005 , 816 , 125821 , 122247 , 2.923589 
05-May-2016 09:28,201603,201503,Other UK Airports             ,LYDD                          , 52 , 33 , 19 , 52 , 0 ,Null, 0 , 0 , 0 , 0 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,MANCHESTER                    , 1548678 , 930771 , 91031 , 1021802 , 844040 , 21.06085 , 464679 , 62197 , 526876 , 499975 , 5.380469 
05-May-2016 09:28,201603,201503,Other UK Airports             ,NEWCASTLE                     , 201736 , 136269 , 31599 , 167868 , 150305 , 11.68491 , 29919 , 3949 , 33868 , 40713 ,-16.81281 
05-May-2016 09:28,201603,201503,Other UK Airports             ,NEWQUAY                       , 838 , 838 , 0 , 838 , 0 ,Null, 0 , 0 , 0 , 0 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,NORWICH                       , 24764 , 12076 , 3160 , 15236 , 12821 , 18.83628 , 0 , 9528 , 9528 , 7097 , 34.25391 
05-May-2016 09:28,201603,201503,Other UK Airports             ,OXFORD (KIDLINGTON)           , 0 , 0 , 0 , 0 , 0 ,Null, 0 , 0 , 0 , 0 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,PRESTWICK                     , 38601 , 38592 , 0 , 38592 , 24236 , 59.2342 , 4 , 5 , 9 , 0 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,SCATSTA                       , 6462 , 0 , 0 , 0 , 0 ,Null, 0 , 6462 , 6462 , 10946 ,-40.96474 
05-May-2016 09:28,201603,201503,Other UK Airports             ,SHOREHAM                      , 29 , 0 , 29 , 29 , 15 , 93.33334 , 0 , 0 , 0 , 0 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,SOUTHAMPTON                   , 47161 , 44042 , 1568 , 45610 , 45738 ,-0.2798548 , 1551 , 0 , 1551 , 2076 ,-25.28902 
05-May-2016 09:28,201603,201503,London Area Airports          ,SOUTHEND                      , 68971 , 60928 , 0 , 60928 , 66193 ,-7.954013 , 8043 , 0 , 8043 , 8378 ,-3.998568 
05-May-2016 09:28,201603,201503,London Area Airports          ,STANSTED                      , 1717485 , 1589624 , 20090 , 1609714 , 1418822 , 13.45426 , 104434 , 3337 , 107771 , 117740 ,-8.466961 
05-May-2016 09:28,201603,201503,Other UK Airports             ,SUMBURGH                      , 3553 , 0 , 0 , 0 , 636 ,Null, 32 , 3521 , 3553 , 1433 , 147.9414 
05-May-2016 09:28,201603,201503,Other UK Airports             ,WICK JOHN O GROATS            , 0 , 0 , 0 , 0 , 0 ,Null, 0 , 0 , 0 , 54 ,Null
