rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,mail_scheduled_passenger_aircraft_foreign_EU,mail_scheduled_cargo_aircraft_foreign_EU,mail_charter_passenger_aircraft_foreign_EU,mail_charter_cargo_aircraft_foreign_EU,mail_scheduled_passenger_aircraft_foreign_non_EU,mail_scheduled_cargo_aircraft_foreign_non_EU,mail_charter_passenger_aircraft_foreign_non_EU,mail_charter_cargo_aircraft_foreign_non_EU,mail_scheduled_passenger_aircraft_UK,mail_scheduled_cargo_aircraft_UK,mail_charter_passenger_aircraft_UK,mail_charter_cargo_aircraft_UK
05-May-2016 09:31,201603,Other UK Airports             ,ABERDEEN                      , 0.001 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.304 , 0 , 0.08 , 153.82 
05-May-2016 09:31,201603,Non UK Reporting Airports     ,ALDERNEY                      , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.498 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,BELFAST INTERNATIONAL         , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1354.223 
05-May-2016 09:31,201603,Other UK Airports             ,BIRMINGHAM                    , 0.224 , 0 , 0 , 0 , 13.029 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   , 0 , 0 , 0.75 , 0 , 0 , 0 , 0 , 0 , 2168.029 , 0 , 0 , 43.492 
05-May-2016 09:31,201603,Other UK Airports             ,EDINBURGH                     , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1382.462 , 0 , 13.966 
05-May-2016 09:31,201603,Other UK Airports             ,EXETER                        , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 284.424 
05-May-2016 09:31,201603,London Area Airports          ,GATWICK                       , 191.75 , 0 , 4.396 , 0 , 261.259 , 0 , 0.597 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,GLASGOW                       , 0.133 , 0 , 0 , 0 , 0.001 , 0 , 0 , 0 , 6.669 , 0.006 , 0 , 0 
05-May-2016 09:31,201603,Non UK Reporting Airports     ,GUERNSEY                      , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.474 , 0 , 0 , 253.256 
05-May-2016 09:31,201603,London Area Airports          ,HEATHROW                      , 1405.285 , 0 , 0 , 0 , 6856.487 , 6.291 , 0 , 0 , 0.383 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,ISLAY                         , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.709 , 0 , 0 , 0 
05-May-2016 09:31,201603,Non UK Reporting Airports     ,ISLE OF MAN                   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 205.23 
05-May-2016 09:31,201603,Other UK Airports             ,ISLES OF SCILLY (ST.MARYS)    , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.426 , 20.875 , 0 , 0 
05-May-2016 09:31,201603,Non UK Reporting Airports     ,JERSEY                        , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 84.613 , 59.011 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,KIRKWALL                      , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.391 , 0.022 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,LANDS END (ST JUST)           , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.4 , 20.8 , 0 , 0 
05-May-2016 09:31,201603,London Area Airports          ,LONDON CITY                   , 14.419 , 0 , 0 , 0 , 132.108 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,MANCHESTER                    , 0.393 , 0 , 0 , 0 , 259.905 , 0 , 0.032 , 0 , 0.06 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,NEWCASTLE                     , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 428.302 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,SOUTHAMPTON                   , 4.368 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.075 , 0 , 0 , 0 
05-May-2016 09:31,201603,London Area Airports          ,STANSTED                      , 0 , 0 , 0 , 0 , 1.035 , 0 , 0 , 0 , 0 , 0 , 0 , 1756.668 
05-May-2016 09:31,201603,Other UK Airports             ,TIREE                         , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.356 , 0.006 , 0 , 0 
